 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 he [VBD,1] not have [NP/VP,2] 	 he [VBD,1] n't have [NP/VP,2] 
 commission is unable to 	 commission can not 
 it 's not [NP,1] [PRP,2] 	 that was n't [NP,1] [PRP,2] 
 we can not just [VP/NP,1] 	 we can not simply [VP/NP,1] 
 [VBP,1] not enough to [VB,2] 	 [VBP,1] not sufficient to [VB,2] 
 [PRP$,1] computer does n't 	 [PRP$,1] computer does not 
 [SBAR/VP,1] [VBP,2] not prepared to 	 [SBAR/VP,1] [VBP,2] unwilling to 
 [PRP,1] could not [RB,2] 	 [PRP,1] could n't [RB,2] 
 do n't say [S,1] 	 'm not saying [S,1] 
 do not understand [SBAR/VP,1] [VP/S,2] 	 do n't understand [SBAR/VP,1] [VP/S,2] 
 [COMMA,1] i [VBP,2] not . 	 [COMMA,1] i [VBP,2] n't . 
 the motor does not 	 engine does not 
 do n't [VB,1] that i 	 does not [VB,1] that i 
 is not obliged [VP/NP,1] 	 is not bound [VP/NP,1] 
 the [NNP,1] failed [VP/NN,2] 	 the [NNP,1] does not [VP/NN,2] 
 you 're not [VBG,1] 	 you were n't [VBG,1] 
 n't [VBN,1] [PP,2] 	 not [VBN,1] [PP,2] 
 are n't [VP/VB,1] 	 are not [VP/VB,1] 
 not in my house . 	 not in my back yard . 
 [MD,1] not compromise 	 [MD,1] not jeopardise 
 unreadable 	 not readable 
 may [IN,1] no case 	 can not [IN,1] any circumstances 
 [VP/VP,1] 's not 	 [VP/VP,1] is not 
 it is not anticipated 	 there are no plans 
 [NN,1] can only [VP/S,2] 	 [NN,1] can not [VP/S,2] 
 [NP,1] [MD,2] not be suitable 	 [NP,1] [MD,2] not be appropriate 
 [NP,1] [VBP,2] not just 	 [NP,1] [VBP,2] not only 
 he [VBZ,1] n't [RB,2] . 	 he [VBZ,1] not [RB,2] . 
 not living in 	 not live in 
 [VBP,1] not afraid [PP/NNP,2] 	 [VBP,1] scared [PP/NNP,2] 
 it is not by chance 	 it is no coincidence 
 [IN,1] people who [VBP,2] not 	 [IN,1] persons who [VBP,2] not 
 it [VBZ,1] not the [NN,2] 	 it [VBZ,1] never the [NN,2] 
 that [PRP,1] [VBP,2] n't understand 	 that [PRP,1] [VBP,2] not understand 
 is not sufficient [VP/PP,1] [PP,2] 	 is not enough [VP/PP,1] [PP,2] 
 [PP,1] is unacceptable . 	 [PP,1] is not acceptable . 
 [CC,1] not [PP,2] . 	 [CC,1] probably [PP,2] . 
 rather than [RB,1] [NP\RB,2] 	 and not [RB,1] [NP\RB,2] 
 is it not true 	 is it not the case 
 is impossible to determine whether 	 is not possible to determine whether 
 [PRP,1] 's not gonna [VP,2] 	 [PRP,1] 's not going [VP,2] 
 [MD,1] n't do [NP,2] ! 	 [MD,1] not take [NP,2] . 
 i 'm not kidding . 	 i 'm not joking . 
 syria did not 	 syria has failed 
 [S/VP,1] is not [NP/NN,2] 	 [S/VP,1] 's not [NP/NN,2] 
 n't [VP/NN,1] case 	 not [VP/NN,1] case 
 n't [VB,1] me . 	 not [VB,1] me . 
 not [WP,1] [PRP,2] meant 	 not [WP,1] [PRP,2] mean 
 it [VBZ,1] not funny [.,2] 	 this [VBZ,1] n't funny [.,2] 
 i do n't [VP/DT,1] this 	 i did not [VP/DT,1] that 
 [SBAR/VP,1] [VBP,2] not bound 	 [SBAR/VP,1] [VBP,2] not related 
 [VBZ,1] not responded [PP,2] . 	 [VBZ,1] not replied [PP,2] . 
 not respond to [NP/NN,1] [NN,2] 	 not participate in [NP/NN,1] [NN,2] 
 is not considered to be a 	 shall not be regarded as a 
 you [MD,1] not [VP,2] 	 you just [MD,1] n't [VP,2] 
 is not compatible [IN,1] [NP/CD,2] 	 is not supported [IN,1] [NP/CD,2] 
 did not know that [.,1] 	 did n't know that [.,1] 
 do not know [SBAR/ADJP,1] 	 do n't know [SBAR/ADJP,1] 
 [VBZ,1] not know [SBAR/VBN,2] 	 [VBZ,1] n't know [SBAR/VBN,2] 
 [:,1] not right now [.,2] 	 [:,1] not now [.,2] 
 [NP,1] did not appear [IN,2] 	 [NP,1] was not included [IN,2] 
 disagree [PP/SBAR,1] [IN,2] 	 do not agree [PP/SBAR,1] [IN,2] 
 [NP,1] is not [RB,2] available 	 [NP,1] is [RB,2] unavailable 
 [NP,1] was not [ADJP/NN,2] 	 [NP,1] was n't [ADJP/NN,2] 
 [PRP,1] 's not my [NP\PRP$,2] 	 [PRP,1] was n't my [NP\PRP$,2] 
 i do not [VB,1] [WHADVP,2] 	 i do n't [VB,1] [WHADVP,2] 
 [PRP,1] do n't feel [RB,2] 	 [PRP,1] 'm not feeling [RB,2] 
 not [JJ,1] , [UH,2] 	 n't [JJ,1] , [UH,2] 
 [WP,1] do not wish 	 [WP,1] do not want 
 [MD,1] n't wait . 	 [MD,1] not wait . 
 [SBAR/VP,1] are not part 	 [SBAR/VP,1] do not form part 
 this [VBZ,1] n't a [NP\DT,2] 	 this [VBZ,1] not a [NP\DT,2] 
 am not [PRP$,1] [NN,2] . 	 'm not [PRP$,1] [NN,2] . 
 do not have [NP/VP,1] [VB,2] 	 do n't have [NP/VP,1] [VB,2] 
 [SBAR/VP,1] 's not [NP/SBAR,2] 	 [SBAR/VP,1] is not [NP/SBAR,2] 
 [NNP,1] failed to [VP/S,2] 	 [NNP,1] did not [VP/S,2] 
 not forget [TO,1] [VP,2] 	 n't forget [TO,1] [VP,2] 
 [VBP,1] not see [NP,2] 	 [VBP,1] n't see [NP,2] 
 [:,1] [PRP,2] 's not answering 	 [:,1] [PRP,2] 's not responding 
 should n't have [VBN,1] 	 should not have [VBN,1] 
 [VBZ,1] [SBAR/VP,2] have not 	 [VBZ,1] [SBAR/VP,2] have failed to 
 - [DT,1] 's impossible 	 - [DT,1] 's not possible 
 [JJ,1] [NN,2] can only 	 [JJ,1] [NN,2] can not 
 [VBZ,1] no damn drill [.,2] 	 [VBZ,1] not a drill [.,2] 
 does not recognise [NP,1] . 	 does not recognize [NP,1] . 
 just not [NN,1] [.,2] 	 but no [NN,1] [.,2] 
 [PRP,1] do n't believe [SBAR/PP,2] 	 [PRP,1] do not believe [SBAR/PP,2] 
 who [VBP,1] not reached [NP,2] 	 who [VBP,1] not attained [NP,2] 
 do not know [SBAR/ADJP,1] [ADJP,2] 	 do n't know [SBAR/ADJP,1] [ADJP,2] 
 did not [VB,1] [PP/NNS,2] 	 did n't [VB,1] [PP/NNS,2] 
 i am not [ADJP,1] [SBAR/VP,2] 	 i am still [ADJP,1] [SBAR/VP,2] 
 is not [IN,1] [PRP,2] 	 is n't [IN,1] [PRP,2] 
 you [VBP,1] not know [SBAR/VP,2] 	 you [VBP,1] unsure [SBAR/VP,2] 
 will not leave [VP\VB,1] . 	 wo n't let [VP\VB,1] . 
 [SBAR/VP,1] have not got [NP/SBAR,2] 	 [SBAR/VP,1] do not have [NP/SBAR,2] 
 [DT,1] [VBZ,2] not you . 	 [DT,1] [VBZ,2] n't you . 
 does not have jurisdiction [VP/NNS,1] 	 lacks jurisdiction [VP/NNS,1] 
 [DT,1] are n't 	 [DT,1] are not 
 shall be admissible 	 shall not be acceptable 
 [S/S,1] [PRP,2] is not 	 [S/S,1] [PRP,2] 's not 
 not just [IN,1] 	 not simply [IN,1] 
 - you [VBD,1] not 	 - i [VBD,1] n't 
 [VP/VP,1] not addressed [IN,2] 	 [VP/VP,1] not covered [IN,2] 
 [VP/VP,1] 's not [NP,2] 	 [VP/VP,1] is n't [NP,2] 
 was not edited 	 was not formally edited 
 [IN,1] they [VBP,2] n't have 	 [IN,1] they [VBP,2] not have 
 'm not [JJ,1] [VP/NP,2] 	 was n't [JJ,1] [VP/NP,2] 
 she does n't [VB,1] [WRB,2] 	 she does not [VB,1] [WRB,2] 
 [SBAR/VP,1] does not alter 	 [SBAR/VP,1] does not change 
 do n't [VP/NN,1] everything [.,2] 	 're not [VP/NN,1] everything [.,2] 
 not leave [VP\VB,1] 	 not let [VP\VB,1] 
 [VBP,1] not think [IN,2] it 	 [VBP,1] not believe [IN,2] it 
 how about [RB,1] ? 	 why not [RB,1] ? 
 , the author has failed 	 , the author has not 
 not part [IN,1] [NP,2] 	 never part [IN,1] [NP,2] 
 [NP,1] does not replace 	 [NP,1] is no substitute for 
 notes [SBAR/VP,1] has not [VBN,2] 	 noted [SBAR/VP,1] has not [VBN,2] 
 would not have [VP/SBAR,1] [SBAR/VP,2] 	 would n't have [VP/SBAR,1] [SBAR/VP,2] 
 [JJ,1] [CC,2] informal -rrb- 	 [JJ,1] [CC,2] not -rrb- 
 is not in accordance with 	 is not in conformity with 
 the author has not submitted 	 the complainant has not submitted 
 [NP/VP,1] are unable [VP,2] 	 [NP/VP,1] can not [VP,2] 
 am not [VP/NNP,1] 	 'm not [VP/NNP,1] 
 [VBP,1] not think that we 	 [VBP,1] not believe we 
 -he [VBZ,1] not here 	 - he [VBZ,1] not here 
 n't see a [NP\DT,1] 	 not see any [NP\DT,1] 
 - this is dangerous 	 - it 's not safe 
 that the author had not 	 that the complainant had not 
 [PRP,1] do n't know [SBAR/VB,2] 	 [PRP,1] do not know [SBAR/VB,2] 
 is wrong to [VB,1] 	 is not true to [VB,1] 
 if [S/VP,1] [VBD,2] not 	 if [S/VP,1] [VBD,2] n't 
 is not possible to [VP/NN,1] 	 's impossible to [VP/NN,1] 
 [PRP,1] 'm not [ADJP/JJ,2] 	 [PRP,1] am not [ADJP/JJ,2] 
 being not [NN,1] 	 not forming [NN,1] 
 not just [NP,1] that [VP,2] 	 not only [NP,1] that [VP,2] 
 they [VBP,1] not [JJ,2] . 	 it [VBP,1] n't [JJ,2] . 
 [MD,1] not be submitted 	 [MD,1] not be presented 
 [VBZ,1] not imply [SBAR/JJ,2] 	 [VBZ,1] not mean [SBAR/JJ,2] 
 is not [NP/DT,1] 	 's not [NP/DT,1] 
 [VBP,1] been unable [VP,2] 	 [VBP,1] not been able [VP,2] 
 [NP,1] can not operate 	 [NP,1] can not function 
 [VBP,1] not [VB,2] , 	 [VBP,1] n't [VB,2] , 
 what does not [VP,1] 	 what does n't [VP,1] 
 ai n't [JJ,1] ! 	 's not [JJ,1] ! 
 [IN,1] i [VBP,2] not know 	 [IN,1] i [VBP,2] n't know 
 if [S/VP,1] fails to [VP,2] 	 if [S/VP,1] do not [VP,2] 
 do n't [VB,1] [IN,2] , 	 does not [VB,1] [IN,2] , 
 does n't change [DT,1] fact 	 does not alter [DT,1] fact 
 is not the answer 	 is not the solution 
 is n't [JJ,1] at 	 's not [JJ,1] at 
 would be inappropriate to 	 would not be appropriate to 
 [VBD,1] not reached 	 [VBD,1] not achieved 
 finds [SBAR/VP,1] [VBD,2] not 	 considers [SBAR/VP,1] [VBD,2] not 
 has n't [VP/S,1] [S/RB,2] 	 did not [VP/S,1] [S/RB,2] 
 [VBP,1] not special [.,2] 	 [VBP,1] nobody [.,2] 
 not even [VB,1] [VP\VB,2] 	 n't even [VB,1] [VP\VB,2] 
 [VP/SBAR,1] [WP,2] has not 	 [VP/SBAR,1] [WP,2] did n't 
 [VBD,1] n't [NP/NP,2] 	 [VBD,1] not have [NP/NP,2] 
 not know that [NN,1] 	 n't know this [NN,1] 
 [NP,1] [MD,2] not go beyond 	 [NP,1] [MD,2] not exceed 
 [S,1] and [S/RB,2] not . 	 [S,1] and [S/RB,2] n't . 
 not [VB,1] treated [PP,2] 	 not [VB,1] dealt with [PP,2] 
 's not gonna be [DT,1] 	 wo n't be [DT,1] 
 [PRP,1] is not possible to 	 [PRP,1] is impossible to 
 unreasonable 	 is not reasonable 
 was not [NP,1] , 	 was n't [NP,1] , 
 's not coming 	 wo n't come 
 [VBP,1] not live [IN,2] 	 [VBP,1] n't live [IN,2] 
 do not come [PP/PP,1] 	 do not fall [PP/PP,1] 
 that [NNP,1] failed to provide 	 that [NNP,1] has not provided 
 is not [WP,1] we 	 's not [WP,1] we 
 a manner [WDT,1] [VBZ,2] not 	 a way [WDT,1] [VBZ,2] not 
 last but not least 	 finally 
 n't a good [NN,1] 	 not a good [NN,1] 
 [MD,1] not explain 	 [MD,1] only account for 
 [INTJ,1] , not yet . 	 [INTJ,1] , not again . 
 shall not apply [SBAR/VP,1] 	 is not applicable [SBAR/VP,1] 
 the [NN,1] has failed 	 the [NN,1] has not 
 [VBP,1] n't [VBN,2] . 	 [VBP,1] not [VBN,2] . 
 [VBZ,1] not yet [VBN,2] into 	 [VBZ,1] still not [VBN,2] into 
 is n't [RB,1] [WP,2] 	 is not [RB,1] [WP,2] 
 not take part [PP,1] 	 not participate [PP,1] 
 [VBP,1] not go [PP,2] 	 [VBP,1] n't go [PP,2] 
 -you are not yourself 	 how your mind hops about 
 [VP/SBAR,1] [SBAR/VP,2] has still not 	 [VP/SBAR,1] [SBAR/VP,2] has not yet 
 and what does n't 	 and what does not 
 [NP,1] did not take part 	 [NP,1] did not participate 
 [IN,1] i can not 	 [IN,1] i ca n't 
 i 'm not insane 	 i 'm not crazy 
 [VBD,1] not participate [PP,2] 	 [VBD,1] not take part [PP,2] 
 not suffer [NP,1] 	 n't fought [NP,1] 
 [:,1] you do n't understand 	 [:,1] you do not understand 
 not [JJ,1] for [DT,2] 	 n't [JJ,1] for [DT,2] 
 [VBZ,1] not appropriate to 	 [VBZ,1] inappropriate to 
 [PRP,1] want none [PP,2] 	 [PRP,1] 'm not looking [PP,2] 
 [DT,1] [VBZ,2] not good . 	 [DT,1] [VBZ,2] bad . 
 if [PRP,1] do not [VP/NNS,2] 	 if [PRP,1] fail [VP/NNS,2] 
 n't [VB,1] [VP/PRP,2] you 	 not [VB,1] [VP/PRP,2] you 
 we can not simply [VP/VP,1] 	 we can not just [VP/VP,1] 
 is not desirable [IN,1] 	 is undesirable [IN,1] 
 that [NP,1] [VBZ,2] not established 	 that [NP,1] [VBZ,2] not shown 
 was n't [NP/PRP,1] [PRP,2] 	 was not [NP/PRP,1] [PRP,2] 
 [VBD,1] not ready [VP/NP,2] 	 [VBD,1] not prepared [VP/NP,2] 
 did not receive [NP/NP,1] [NP,2] 	 has not received [NP/NP,1] [NP,2] 
 not lead [PP/PP,1] [PP,2] 	 not result [PP/PP,1] [PP,2] 
 is not excluded 	 is not precluded 
 am not [VBG,1] [PRP,2] . 	 'm not [VBG,1] [PRP,2] . 
 n't [RB,1] for [NP,2] 	 not [RB,1] for [NP,2] 
 the [NNS,1] have not [VP/NN,2] 	 the [NNS,1] have failed [VP/NN,2] 
 n't [VB,1] [PRP,2] . 	 not [VB,1] [PRP,2] . 
 [VBD,1] n't [VB,2] at 	 [VBD,1] not [VB,2] at 
 do not [VB,1] me [WRB,2] 	 do n't [VB,1] me [WRB,2] 
 [VBZ,1] impossible [PP,2] 	 [VBZ,1] not possible [PP,2] 
 does not contest the 	 does not dispute the 
 [PRP,1] see no reason why 	 [PRP,1] do not see why 
 [PRP,1] [VBP,2] n't mind 	 [PRP,1] [VBP,2] not interrupting 
 [VBZ,1] not show [IN,2] 	 [VBZ,1] not demonstrate [IN,2] 
 i [VBP,1] n't believe [SBAR/VP,2] 	 i [VBP,1] not believe [SBAR/VP,2] 
 must n't [VB,1] [ADJP/NNP,2] 	 must not [VB,1] [ADJP/NNP,2] 
 [VBZ,1] not supported [PP/PP,2] 	 [VBZ,1] not compatible [PP/PP,2] 
 do n't work [VP\VB,1] 	 do not work [VP\VB,1] 
 [VP/SBAR,1] that [S/RB,2] n't 	 [VP/SBAR,1] that [S/RB,2] not 
 [NN,1] has not [VP,2] 	 [NN,1] has failed [VP,2] 
 is less [JJ,1] [SBAR,2] 	 's not as [JJ,1] [SBAR,2] 
 not disappoint 	 n't disappoint 
 's not over yet [.,1] 	 's not over [.,1] 
 - i [VBP,1] not [VBG,2] 	 -i [VBP,1] not [VBG,2] 
 has no intention to [VP/PP,1] 	 does not intend to [VP/PP,1] 
 as [PRP,1] can not [VP/NN,2] 	 because [PRP,1] can not [VP/NN,2] 
 [SBAR/VP,1] can not be [VP/NN,2] 	 [SBAR/VP,1] can only be [VP/NN,2] 
 [VBZ,1] not believe that 	 [VBZ,1] not think that 
 'm not [ADJP/PRP,1] it . 	 're not [ADJP/PRP,1] it . 
 did not [VB,1] why [S/VP,2] 	 do n't [VB,1] why [S/VP,2] 
 [NP,1] [VBD,2] not reach 	 [NP,1] [VBD,2] not meet 
 but not right now [.,1] 	 but not now [.,1] 
 is not [DT,1] fake . 	 is [DT,1] real thing . 
 unrelated [TO,1] [NP,2] 	 not related [TO,1] [NP,2] 
 was not [NP/NP,1] [NP,2] 	 was n't [NP/NP,1] [NP,2] 
 [S/VP,1] does not seem to 	 [S/VP,1] does not appear to 
 not think [SBAR,1] 	 n't think [SBAR,1] 
 [VBP,1] not a [NN,2] anymore 	 [VBP,1] no longer a [NN,2] 
 [PRP,1] is n't 	 [PRP,1] 's not 
 do n't come 	 'm not coming 
 are incapable [PP/NP,1] 	 are not capable [PP/NP,1] 
 's not in [NP/NNP,1] 	 is not in [NP/NNP,1] 
 did n't [VB,1] their 	 did not [VB,1] their 
 [SBAR/VP,1] was not a 	 [SBAR/VP,1] was n't a 
 had not yet [VP/NN,1] 	 had still not [VP/NN,1] 
 [NN,1] [VBZ,2] not right 	 [NN,1] [VBZ,2] not right here 
 not just [ADJP/NP,1] [NP,2] 	 not only [ADJP/NP,1] [NP,2] 
 [VBD,1] n't [VP/VP,2] is 	 [VBD,1] not [VP/VP,2] is 
 has not increased 	 did not increase 
 do not want [VP/SBAR,1] [IN,2] 	 do not wish [VP/SBAR,1] [IN,2] 
 [VBP,1] not afraid [.,2] 	 [VBP,1] not scared [.,2] 
 [NP\PRP$,1] does not [VP,2] 	 [NP\PRP$,1] does n't [VP,2] 
 [VBZ,1] nothing [VP/ADJP,2] 	 [VBZ,1] not [VP/ADJP,2] 
 [VBZ,1] [SBAR/VP,2] can not 	 [VBZ,1] [SBAR/VP,2] ca n't 
 [NN,1] [VBZ,2] not fulfilled 	 [NN,1] [VBZ,2] not met 
 if [PRP,1] [VBP,2] not 	 if [PRP,1] [VBP,2] n't 
 [VP/VP,1] [VBZ,2] not allow 	 [VP/VP,1] [VBZ,2] not permit 
 it does not have jurisdiction 	 it lacks jurisdiction 
 is not [NP,1] [PP/S,2] 	 's not [NP,1] [PP/S,2] 
 [VBP,1] not received 	 [VBP,1] not been given 
 'm not taking [NNS,1] . 	 do n't do [NNS,1] . 
 [VP/VP,1] 's not true 	 [VP/VP,1] is not true 
 i 'm not [DT,1] [NN,2] 	 i am not [DT,1] [NN,2] 
 [VBP,1] not [JJ,2] ! 	 [VBP,1] n't [JJ,2] ! 
 [WP,1] is not [NP,2] 	 [WP,1] is n't [NP,2] 
 [DT,1] complainant did not [VB,2] 	 [DT,1] author did not [VB,2] 
 n't [VB,1] me [PP,2] . 	 not [VB,1] me [PP,2] . 
 and not on [NP/NNS,1] [NNS,2] 	 rather than on [NP/NNS,1] [NNS,2] 
 n't understand [NP,1] 	 not understand [NP,1] 
 [NNP,1] [VBZ,2] not demonstrated 	 [NNP,1] [VBZ,2] not shown 
 it [VBD,1] impossible [VP/PP,2] 	 it [VBD,1] not possible [VP/PP,2] 
 that i am unable [VP/PP,1] 	 that i can not [VP/PP,1] 
 that 's none [PP,1] [.,2] 	 it 's not [PP,1] [.,2] 
 [PRP,1] do n't have [NP/NP,2] 	 [PRP,1] do not have [NP/NP,2] 
 [PP/PP,1] of failure [VP/NP,2] 	 [PP/PP,1] of not [VP/NP,2] 
 [VBZ,1] n't know [S,2] . 	 [VBZ,1] not that [S,2] . 
 [SBAR/VP,1] do not know [SBAR/NN,2] 	 [SBAR/VP,1] do n't know [SBAR/NN,2] 
 [DT,1] rule rather than the 	 [DT,1] rule , not the 
 [WRB,1] he 's not 	 [WRB,1] it is not 
 [SBAR/VP,1] has not [VP/SBAR,2] 	 [SBAR/VP,1] has failed [VP/SBAR,2] 
 's not [NP,1] . 	 ai n't [NP,1] . 
 does not imply [SBAR/S,1] 	 does not mean [SBAR/S,1] 
 could not be [VP/PP,1] [IN,2] 	 could only be [VP/PP,1] [IN,2] 
 not come from 	 n't come from 
 [VBD,1] n't [VP/NP,2] this 	 [VBD,1] not [VP/NP,2] this 
 we [VBD,1] n't [VP,2] . 	 we [VBD,1] not [VP,2] . 
 do n't understand [SBAR/NN,1] 	 do not understand [SBAR/NN,1] 
 [PRP,1] are not [VP/SBAR,2] 	 [PRP,1] 're not [VP/SBAR,2] 
 it is unclear [SBAR/NP,1] 	 it is not clear [SBAR/NP,1] 
 are neither [JJ,1] nor 	 are not [JJ,1] or 
 do not think [S/VP,1] [VP/NP,2] 	 do not believe [S/VP,1] [VP/NP,2] 
 was n't [NP,1] [PP,2] 	 was not [NP,1] [PP,2] 
 'm not [VP/S,1] [S/PRP,2] 	 do n't [VP/S,1] [S/PRP,2] 
 [VBZ,1] not realistic 	 [VBZ,1] unrealistic 
 but this [VBZ,1] not [NP,2] 	 but it [VBZ,1] n't [NP,2] 
 n't [RB,1] [PRP,2] 	 not [RB,1] [PRP,2] 
 has not [VP/VBD,1] 	 has n't [VP/VBD,1] 
 i [VBP,1] not know . 	 i [VBP,1] n't know . 
 [NN,1] [VBZ,2] n't available 	 [NN,1] [VBZ,2] not available 
 this [VBZ,1] not [NP,2] 	 this [VBZ,1] n't [NP,2] 
 in order not [TO,1] [VP,2] 	 so as not [TO,1] [VP,2] 
 [IN,1] failing [VP/NNS,2] 	 [IN,1] not [VP/NNS,2] 
 not consider it [S\PRP,1] 	 not deem it [S\PRP,1] 
 not only [IN,1] [NNS,2] 	 not just [IN,1] [NNS,2] 
 domestic [NN,1] does not 	 national [NN,1] does not 
 does not alter [NP/NN,1] 	 does not change [NP/NN,1] 
 [NP,1] do not include [NP,2] 	 [NP,1] do not understand [NP,2] 
 can not [VP/JJ,1] [JJ,2] 	 ca n't [VP/JJ,1] [JJ,2] 
 i do n't feel well 	 i 'm not feeling well 
 [SYM,1] [NNP,2] wo n't 	 [SYM,1] [NNP,2] will not 
 [VBP,1] n't see [NP,2] 	 [VBP,1] not see [NP,2] 
 do n't understand [NP/NP,1] [DT,2] 	 do not understand [NP/NP,1] [DT,2] 
 not recognise [DT,1] [NP\DT,2] 	 not recognize [DT,1] [NP\DT,2] 
 [WDT,1] does not appear [IN,2] 	 [WDT,1] does n't appear [IN,2] 
 [NP,1] [MD,2] not be limited 	 [NP,1] [MD,2] not be restricted 
 does not [VB,1] [S/VP,2] 	 do n't [VB,1] [S/VP,2] 
 [PRP,1] [VBP,2] n't know . 	 [PRP,1] [VBP,2] not know . 
 if you elect not [VP/NP,1] 	 if you choose not [VP/NP,1] 
 [NP,1] that i [VBD,2] not 	 [NP,1] i [VBD,2] n't 
 [WP,1] [PRP,2] did n't 	 [WP,1] [PRP,2] did not 
 n't [VBN,1] [RB,2] 	 not [VBN,1] [RB,2] 
 something [SBAR/VP,1] [MD,2] not 	 something [SBAR/VP,1] [MD,2] n't 
 [NP,1] do not want to 	 [NP,1] do not wish to 
 they do not [VB,1] [VP,2] 	 they do n't [VB,1] [VP,2] 
 'm not [JJ,1] [PP,2] . 	 ai n't [JJ,1] [PP,2] . 
 not too good [.,1] 	 not very well [.,1] 
 [PRP,1] does n't have [NP/VP,2] 	 [PRP,1] does not have [NP/VP,2] 
 would n't say that . 	 'm not sure about that . 
 [IN,1] [NNP,2] failed to demonstrate 	 [IN,1] [NNP,2] did not demonstrate 
 not [VP/RB,1] together 	 n't [VP/RB,1] together 
 that [PRP,1] [VBD,2] impossible 	 that [PRP,1] [VBD,2] not possible 
 [VB,1] care not [VP/S,2] 	 [VB,1] careful not [VP/S,2] 
 [VBZ,1] n't so bad 	 [VBZ,1] not that bad 
 n't [VP/VP,1] use [NP,2] 	 not [VP/VP,1] use [NP,2] 
 not [PRP$,1] real name 	 n't [PRP$,1] real name 
 - [PRP,1] 'm not [ADJP,2] 	 - [PRP,1] ai n't [ADJP,2] 
 's not [NP/VP,1] [VP/PP,2] 	 is not [NP/VP,1] [VP/PP,2] 
 does n't make [S,1] 	 does not make [S,1] 
 're not a [NN,1] 	 are not a [NN,1] 
 not included [IN,1] [NP,2] -rrb- 	 not [IN,1] [NP,2] -rrb- 
 [WRB,1] [NP,2] can not 	 [WRB,1] [NP,2] is unable 
 [SBAR/VP,1] [VBD,2] not obliged 	 [SBAR/VP,1] [VBD,2] not required 
 not lie 	 not resident 
 [SBAR/PP,1] [PP,2] , not just 	 [SBAR/PP,1] [PP,2] , not only 
 [VBD,1] not a [NN,2] . 	 [VBD,1] n't an [NN,2] . 
 is n't [DT,1] game [.,2] 	 's not [DT,1] game [.,2] 
 is impossible [PP/PP,1] 	 is not possible [PP/PP,1] 
 if not , you 	 otherwise , you 
 n't commit suicide 	 not commit suicide 
 could n't [VP/JJ,1] [JJ,2] 	 could not [VP/JJ,1] [JJ,2] 
 [VBP,1] not armed [.,2] 	 [VBP,1] clean , man [.,2] 
 [VBD,1] n't want [NP,2] 	 [VBD,1] not want [NP,2] 
 [WP,1] could not 	 [WP,1] were unable 
 's not [PRP$,1] [NP\PRP$,2] . 	 is not [PRP$,1] [NP\PRP$,2] . 
 he 's not breathing 	 he 's not breathin ' 
 [PRP,1] have n't had 	 [PRP,1] have not had 
 [NNP,1] [VBD,2] failed 	 [NNP,1] [VBD,2] not 
 's not [JJ,1] [RB,2] 	 is not [JJ,1] [RB,2] 
 [VBZ,1] n't have [NP/S,2] 	 [VBZ,1] not have [NP/S,2] 
 it is not known if 	 it is unknown if 
 do not necessarily reflect 	 do not necessarily represent 
 it [VBD,1] n't [PRP$,2] fault 	 it [VBD,1] not [PRP$,2] fault 
 not just on 	 not only on 
 do not let [PRP,1] 	 do n't let [PRP,1] 
 [NP,1] wo n't [VP/NNP,2] 	 [NP,1] would not [VP/NNP,2] 
 do n't [VB,1] [VP,2] ! 	 do not [VB,1] [VP,2] ! 
 [VBZ,1] not certain [IN,2] 	 [VBZ,1] not clear [IN,2] 
 [VBD,1] not state [IN,2] 	 [VBD,1] not indicate [IN,2] 
 [DT,1] [VBZ,2] not my day 	 [DT,1] [VBZ,2] n't my day 
 am not saying 	 do not say 
 we [MD,1] n't [VB,2] him 	 we [MD,1] not [VB,2] him 
 [VP,1] and [S/RB,2] n't . 	 [VP,1] and [S/RB,2] not . 
 [DT,1] is n't funny 	 [DT,1] is not funny 
 have not previously [VP,1] 	 have not already [VP,1] 
 , but no . 	 , but i 'm not . 
 that i [VBD,1] not 	 that i [VBD,1] n't 
 [PP,1] is different from [NP,2] 	 [PP,1] does not match [NP,2] 
 [IN,1] we [VBP,2] still not 	 [IN,1] we [VBP,2] not yet 
 [NP\DT,1] does not [VB,2] 	 [NP\DT,1] does n't [VB,2] 
 not live without you 	 n't live without you 
 if we [VBP,1] n't have 	 if we [VBP,1] not have 
 [NP,1] does not act 	 [NP,1] is not acting 
 [VP/VP,1] should n't be 	 [VP/VP,1] ought not to be 
 regarded as not voting . 	 considered as not voting . 
 do not allow the 	 do not leave the 
 [DT,1] government may not [VP/NP,2] 	 [DT,1] government failed [VP/NP,2] 
 [VP,1] and [MD,2] only be 	 [VP,1] and [MD,2] not be 
 not only [NP/PP,1] [PP,2] 	 not simply [NP/PP,1] [PP,2] 
 that have not done so 	 that have not yet done so 
 do n't have time for 	 do not have time for 
 [RB,1] [MD,2] n't . 	 [MD,2] [RB,1] not . 
 are not applicable [PP/VP,1] 	 do not apply [PP/VP,1] 
 not telling [PRP,1] [NP,2] 	 n't tell [PRP,1] [NP,2] 
 it 's not [PRP,1] [.,2] 	 this is n't [PRP,1] [.,2] 
 not happen . 	 not happened . 
 it is unrealistic 	 it is not realistic 
 since there [VBZ,1] [NP/PP,2] 	 because it [VBZ,1] not [NP/PP,2] 
